Original File,Destination File,Bank Type,Status,Processed,Verified
statement_4116465959_2019-10-31.pdf,PNC\2019-10\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2019-10-31.pdf,PNC,Processed,,
statement_4116465959_2019-11-29.pdf,PNC\2019-11\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2019-11-29.pdf,PNC,Would process,,
statement_4116465959_2019-11-29.pdf,PNC\2019-11\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2019-11-29.pdf,PNC,Processed,,
statement_4116465959_2019-12-31.pdf,PNC\2019-12\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2019-12-31.pdf,PNC,Would process,,
statement_4116465959_2019-12-31.pdf,PNC\2019-12\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2019-12-31.pdf,PNC,Processed,,
statement_4116465959_2020-01-31.pdf,PNC\2020-01\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2020-01-31.pdf,PNC,Would process,,
statement_4116465959_2020-01-31.pdf,PNC\2020-01\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2020-01-31.pdf,PNC,Processed,,
statement_4116465959_2020-02-28.pdf,PNC\2020-02\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2020-02-28.pdf,PNC,Would process,,
statement_4116465959_2020-02-28.pdf,PNC\2020-02\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2020-02-28.pdf,PNC,Processed,,
statement_4116465959_2020-03-31.pdf,PNC\2020-03\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2020-03-31.pdf,PNC,Would process,,
statement_4116465959_2020-03-31.pdf,PNC\2020-03\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2020-03-31.pdf,PNC,Processed,,
statement_4116465959_2020-04-30.pdf,PNC\2020-04\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2020-04-30.pdf,PNC,Would process,,
statement_4116465959_2020-04-30.pdf,PNC\2020-04\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2020-04-30.pdf,PNC,Processed,,
statement_4116465959_2020-05-29.pdf,PNC\2020-05\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2020-05-29.pdf,PNC,Would process,,
statement_4116465959_2020-05-29.pdf,PNC\2020-05\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2020-05-29.pdf,PNC,Processed,,
statement_4116465959_2020-06-30.pdf,PNC\2020-06\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2020-06-30.pdf,PNC,Would process,,
statement_4116465959_2020-06-30.pdf,PNC\2020-06\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2020-06-30.pdf,PNC,Processed,,
statement_4116465959_2020-07-31.pdf,PNC\2020-07\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2020-07-31.pdf,PNC,Would process,,
statement_4116465959_2020-07-31.pdf,PNC\2020-07\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2020-07-31.pdf,PNC,Processed,,
statement_4116465959_2020-08-31.pdf,PNC\2020-08\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2020-08-31.pdf,PNC,Would process,,
statement_4116465959_2020-08-31.pdf,PNC\2020-08\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2020-08-31.pdf,PNC,Processed,,
statement_4116465959_2020-09-30.pdf,PNC\2020-09\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2020-09-30.pdf,PNC,Would process,,
statement_4116465959_2020-09-30.pdf,PNC\2020-09\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2020-09-30.pdf,PNC,Processed,,
statement_4116465959_2020-10-30.pdf,PNC\2020-10\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2020-10-30.pdf,PNC,Would process,,
statement_4116465959_2020-10-30.pdf,PNC\2020-10\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2020-10-30.pdf,PNC,Processed,,
statement_4116465959_2020-11-30.pdf,PNC\2020-11\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2020-11-30.pdf,PNC,Would process,,
statement_4116465959_2020-11-30.pdf,PNC\2020-11\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2020-11-30.pdf,PNC,Processed,,
statement_4116465959_2020-12-31.pdf,PNC\2020-12\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2020-12-31.pdf,PNC,Would process,,
statement_4116465959_2020-12-31.pdf,PNC\2020-12\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2020-12-31.pdf,PNC,Processed,,
statement_4116465959_2021-01-29.pdf,PNC\2021-01\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2021-01-29.pdf,PNC,Would process,,
statement_4116465959_2021-01-29.pdf,PNC\2021-01\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2021-01-29.pdf,PNC,Processed,,
statement_4116465959_2021-02-26.pdf,PNC\2021-02\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2021-02-26.pdf,PNC,Would process,,
statement_4116465959_2021-02-26.pdf,PNC\2021-02\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2021-02-26.pdf,PNC,Processed,,
statement_4116465959_2021-03-31.pdf,PNC\2021-03\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2021-03-31.pdf,PNC,Would process,,
statement_4116465959_2021-03-31.pdf,PNC\2021-03\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2021-03-31.pdf,PNC,Processed,,
statement_4116465959_2021-04-30.pdf,PNC\2021-04\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2021-04-30.pdf,PNC,Would process,,
statement_4116465959_2021-04-30.pdf,PNC\2021-04\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2021-04-30.pdf,PNC,Processed,,
statement_4116465959_2021-05-28.pdf,PNC\2021-05\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2021-05-28.pdf,PNC,Would process,,
statement_4116465959_2021-05-28.pdf,PNC\2021-05\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2021-05-28.pdf,PNC,Processed,,
statement_4116465959_2021-06-30.pdf,PNC\2021-06\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2021-06-30.pdf,PNC,Would process,,
statement_4116465959_2021-06-30.pdf,PNC\2021-06\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2021-06-30.pdf,PNC,Processed,,
statement_4116465959_2021-07-30.pdf,PNC\2021-07\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2021-07-30.pdf,PNC,Would process,,
statement_4116465959_2021-07-30.pdf,PNC\2021-07\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2021-07-30.pdf,PNC,Processed,,
statement_4116465959_2021-08-31.pdf,PNC\2021-08\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2021-08-31.pdf,PNC,Would process,,
statement_4116465959_2021-08-31.pdf,PNC\2021-08\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2021-08-31.pdf,PNC,Processed,,
statement_4116465959_2021-09-30.pdf,PNC\2021-09\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2021-09-30.pdf,PNC,Would process,,
statement_4116465959_2021-09-30.pdf,PNC\2021-09\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2021-09-30.pdf,PNC,Processed,,
statement_4116465959_2021-10-29.pdf,PNC\2021-10\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2021-10-29.pdf,PNC,Would process,,
statement_4116465959_2021-10-29.pdf,PNC\2021-10\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2021-10-29.pdf,PNC,Processed,,
statement_4116465959_2021-11-30.pdf,PNC\2021-11\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2021-11-30.pdf,PNC,Would process,,
statement_4116465959_2021-11-30.pdf,PNC\2021-11\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2021-11-30.pdf,PNC,Processed,,
